time,station,rr,substation
2000-01-01T00:00+00:00,13120,947.0,
2000-01-01T00:00+00:00,13250,835.0,
2000-01-01T00:00+00:00,13301,1043.0,
2000-01-01T00:00+00:00,13302,,
2000-01-01T00:00+00:00,13303,,
2000-01-01T00:00+00:00,13305,843.0,
2000-01-01T00:00+00:00,13308,,
2000-01-01T00:00+00:00,13312,,
2000-01-01T00:00+00:00,13400,1080.0,
2000-01-01T00:00+00:00,13401,,
2000-01-01T00:00+00:00,13515,1207.0,
2000-01-01T00:00+00:00,13600,679.0,
2000-01-01T00:00+00:00,13605,703.0,
2000-01-01T00:00+00:00,13606,,
2000-01-01T00:00+00:00,13640,,
2000-01-01T00:00+00:00,13701,756.0,
2000-01-01T00:00+00:00,13702,,
2000-01-01T00:00+00:00,13706,,
2000-01-01T00:00+00:00,13707,,
2000-01-01T00:00+00:00,13805,,
2000-01-01T00:00+00:00,13811,,
2000-01-01T00:00+00:00,13906,,
2000-01-01T00:00+00:00,13907,,
2000-01-01T00:00+00:00,14100,1481.0,
2000-01-01T00:00+00:00,14103,,
2000-01-01T00:00+00:00,14104,,
2000-01-01T00:00+00:00,14105,,
2000-01-01T00:00+00:00,14115,,
2000-01-01T00:00+00:00,14200,1613.0,
2000-01-01T00:00+00:00,14300,1324.0,
2000-01-01T00:00+00:00,14301,,
2000-01-01T00:00+00:00,14302,,
2000-01-01T00:00+00:00,14305,1603.0,
2000-01-01T00:00+00:00,14308,,
2000-01-01T00:00+00:00,14310,1982.0,
2000-01-01T00:00+00:00,14311,,
2000-01-01T00:00+00:00,14403,923.0,
2000-01-01T00:00+00:00,14512,921.0,
2000-01-01T00:00+00:00,14513,,
2000-01-01T00:00+00:00,14520,883.0,
2000-01-01T00:00+00:00,14521,,
2000-01-01T00:00+00:00,14600,,
2000-01-01T00:00+00:00,14602,,
2000-01-01T00:00+00:00,14603,,
2000-01-01T00:00+00:00,14621,1174.0,
2000-01-01T00:00+00:00,14622,,
2000-01-01T00:00+00:00,14630,931.0,
2000-01-01T00:00+00:00,14631,,
2000-01-01T00:00+00:00,14701,,
2000-01-01T00:00+00:00,14801,1479.0,
2000-01-01T00:00+00:00,14802,,
2000-01-01T00:00+00:00,14810,1157.0,
2000-01-01T00:00+00:00,14812,,
2000-01-01T00:00+00:00,14820,,
2000-01-01T00:00+00:00,14821,,
2000-01-01T00:00+00:00,14822,,
2000-01-01T00:00+00:00,14825,,
2000-01-01T00:00+00:00,14833,,
2000-01-01T00:00+00:00,14834,,
2000-01-01T00:00+00:00,14912,,
2000-01-01T00:00+00:00,15001,1335.0,
2000-01-01T00:00+00:00,15002,,
2000-01-01T00:00+00:00,15105,1281.0,
2000-01-01T00:00+00:00,15210,1156.0,
2000-01-01T00:00+00:00,15300,1630.0,
2000-01-01T00:00+00:00,15310,1765.0,
2000-01-01T00:00+00:00,15320,,
2000-01-01T00:00+00:00,15321,2978.0,
2000-01-01T00:00+00:00,15343,1175.0,
2000-01-01T00:00+00:00,15344,,
2000-01-01T00:00+00:00,15402,1350.0,
2000-01-01T00:00+00:00,15410,2260.0,
2000-01-01T00:00+00:00,15411,,
2000-01-01T00:00+00:00,15412,,
2000-01-01T00:00+00:00,15430,,
2000-01-01T00:00+00:00,15501,,
